,sku_id,variant_code,image_url,description,item_category,class_code,department_code,color,season,quantity,price,url
0,17964387,HOT224LIGHTPINK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546388888_1.jpg?v=1658817695,Tween Girl's Light Pink Cotton Lycra Embroidered Shorts,Girl's Shorts,"30/06/22, Bottomwear, Embroidered, Ethnic, Ethnicity Limited, GIRL, Girl's, Light Pink, Lot 8, MS, Shorts, SS22, Style Union, Tw Girls Bottoms, Woven",,Pink,kg,354.0,599.0,style-union-girls-light-pink-cotton-lycra-embroidered-shorts-hot224lightpink-light-pink
1,17951274,CD04BRIGHTYELLOW,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/CD04BRIGHTYELLOW_1.jpg?v=1666085525,Women's Yellow Chiffon Printed Dupatta,Women's Dupatta,"18/10/22, AD, AW22, Chiffon, Ethnicwear, Style Union, Topwear, Women's, Women's Dupatta, Woven, Yellow",,Yellow,kg,564.0,349.0,womens-yellow-chiffon-printed-dupatta-cd04brightyellow
2,19439448,FT00143AQUA,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/FT00143AQUA_1_49acda83-46c4-4e21-8809-9abc6827a749.jpg?v=1691755196,,Women's Kurta,"Blue, Embellished, Ethnic Wear, Flare Fit, FT00143, Fusion Topwear, Hand Wash, Kurta, SS23, Three-Fourth Sleeve, Topwear, Viscose, Women's, Woven",LADIES ETHNIC TOPWEAR,Aqua,kg,296.0,913.0,flare-fit-embellished-kurta-ft00143aqua
3,18187282,DNMB16-JMIDSTONE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/DNMB16-JMIDSTONE_1.jpg?v=1693459774,,Boy's Jeans,"13/01/23, AD, AW22, Boy's Jeans, Cotton, denim_jeans, Jeans, Junior Boy's, Lot 9, Navy Blue, Solid, Style Union, Woven",,Mid Stone,kg,587.0,224.75,boys-regular-fit-solid-mid-rise-jean-dnmb16-j
4,16943600,MK52YELLOW,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546487512_5.jpg?v=1658817881,,MENS WEAR,MEN ETHNICWEAR,MENS ETHNIC TOPWEAR,Yellow,471.00,632.0,999.0,style-union-yellow-cotton-dobby-striped-kurta-mk52yellow-yellow
5,18515304,JGSS00040MAUVE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546699632_1.jpg?v=1676279183,Junior Girl's Mauve Cotton Printed T-Shirt,Girl's T-Shirts,"10/02/23, 100% Cotton, 281 options, 64, Casualwear, Core, Cotton, Crew Neck, Full Sleeve, Girl's T-Shirts, Jr Girls Sweat Tees, Junior Girl's, Knit, LOT10, Machine Wash, Mauve, Nexon Omniverse limited, Printed, Purple, Regular Fit, Round, SK, SS23, Style ",JR GIRLS T-SHIRTS,Purple,kg,942.0,399.0,junior-girls-mauve-cotton-printed-t-shirt-jgss00040mauve
6,21132069,OR 25 ABLACK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546370050_1.jpg?v=1693496507,,KIDS WEAR,TWEENS BOYS WEAR,TW BOYS LEGWEAR,Black,AW22,451.0,326.60049353458123,boys-regular-fit-solid-mid-rise-trackpant-or25a
7,19066757,LGT00060SAGE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/LGT00060SAGE_1.jpg?v=1691734822,,LADIES WEAR,LADIES WESTERNWEAR,LADIES T-SHIRTS,SAGE,SS23,1141.0,307.3333333333333,STYLE UNION
8,16312142,ML PR 4 TPEACH,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546427624_1.jpg?v=1658817805,,KIDS WEAR,TWEENS GIRLS WEAR,TW GIRLS DRESSES,Peach,SS22,513.0,799.0,style-union-girls-peach-polyester-printed-dress-ml-pr-4-tpeach-peach
9,21876655,2426ABLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546561342_4.jpg?v=1693373595,,Women's Top,"2426A, AW22, AW_Lot_1, Blue, Casual Wear, Hand Wash, Ladies Tops, Multi Colour, Printed, Rayon, Regular, Regular Fit, revamp, Sweetheart Neck, Top, Topwear, Women's, Woven",,Blue,kg,1177.0,144.7069493580289,regular-fit-printed-top-2426a
